date,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS
7/20/2016,S,1902,106503.43,9055,1004
7/21/2016,S,1856,102670.86,9021,884
7/22/2016,S,1972,110489.41,9577,1020
7/23/2016,S,2204,143796.23,11580,1147
7/24/2016,S,2222,139858.74,11343,1056
7/25/2016,S,1566,91000.28,7686,696
7/26/2016,S,1800,110323.48,9049,914
7/27/2016,S,1840,101930.27,9008,841
7/28/2016,S,1735,97054.23,8263,866
7/29/2016,S,1951,121293.68,9833,1008
7/30/2016,S,2217,147897.83,11688,1103
7/31/2016,S,2345,168303.52,13718,1215
8/1/2016,S,2051,128684.52,10622,966
8/2/2016,S,1973,122828.48,10288,1018
8/3/2016,S,2012,117565.5,9989,988
8/4/2016,S,1912,119765.94,9815,900
8/5/2016,S,1856,109324.54,9243,872
8/6/2016,S,2310,167393.79,13234,1038
8/7/2016,S,2291,154144.79,12491,1072
8/8/2016,S,2053,115089.06,9728,918
8/9/2016,S,1850,109076.66,9452,779
8/10/2016,S,1608,94731.78,8149,632
8/11/2016,S,1733,101620.65,8191,743
8/12/2016,S,1819,121837.83,9847,795
8/13/2016,S,2251,167279.52,12757,1014
8/14/2016,S,2158,162911.41,12577,962
8/15/2016,S,2061,142670.49,11520,868
8/16/2016,S,1930,132965.02,10708,923
8/17/2016,S,1374,74168.22,6507,603
8/18/2016,S,2241,156320.16,12264,1142
8/19/2016,S,2307,164508.9,12538,1143
8/20/2016,S,2380,174808.33,14117,1090
8/21/2016,S,2379,174953.5,14693,1154
8/22/2016,S,2271,145924.19,11534,1190
8/23/2016,S,2145,168370.67,13365,949
8/24/2016,S,2096,150240.52,12190,925
8/25/2016,S,2193,184749.02,13767,1195
8/26/2016,S,2287,202507.74,15336,1124
8/27/2016,S,2727,274852.74,19314,1562
8/28/2016,S,3060,322279.42,23471,1966
8/29/2016,S,2567,202430.55,15797,1473
8/30/2016,S,2252,159248.85,13060,1102
8/31/2016,S,2216,160440.67,12091,1111
9/1/2016,S,2159,154232.25,12557,1025
9/2/2016,S,2563,190944.2,15022,1194
9/3/2016,S,2826,236414.79,17888,2166
9/4/2016,S,2918,224663.54,17641,1936
9/5/2016,S,2984,226538.6,17745,1783
9/6/2016,S,1972,117380.11,9907,736
9/7/2016,S,1916,122361.53,10299,800
9/8/2016,S,1949,112570.6,9788,648
9/9/2016,S,2039,120619.71,10405,702
9/10/2016,S,2514,173655.55,13871,905
9/11/2016,S,2555,172987.45,13930,1044
9/12/2016,S,2037,118621.79,10133,724
9/13/2016,S,1912,101692.97,8852,734
9/14/2016,S,1740,102545.9,8537,695
9/15/2016,S,1935,117599.76,9957,903
9/16/2016,S,2041,124615.23,10113,869
9/17/2016,S,2504,167935.19,13727,1101
9/18/2016,S,2339,153073.54,12619,1028
9/19/2016,S,1604,94967.18,7610,604
9/20/2016,S,1881,109183.2,8941,761
9/21/2016,S,2053,119138.81,9529,820
9/22/2016,S,1937,107198.87,9395,877
9/23/2016,S,1972,106793.41,9061,900
9/24/2016,S,2429,155491.23,12303,1153
9/25/2016,S,2414,158706.58,12465,1088
9/26/2016,S,1859,106835.45,8851,811
9/27/2016,S,1817,96815.53,8525,784
9/28/2016,S,1730,95838.74,8364,799
9/29/2016,S,1847,100394.99,8961,845
9/30/2016,S,1619,101956.19,8291,702
10/1/2016,S,2721,195387.77,15027,1254
10/2/2016,S,2525,176155.52,13629,1092
10/3/2016,S,2214,136937.51,11196,1055
10/4/2016,S,2020,118081.67,9919,796
10/5/2016,S,1874,112833.27,9278,735
10/6/2016,S,1971,110908.5,9275,927
10/7/2016,S,1931,112179.63,9007,888
10/8/2016,S,2258,147083.31,11724,1146
10/9/2016,S,2086,139137.9,11096,922
10/10/2016,S,2212,135730.84,10393,1043
10/11/2016,S,1889,113624.17,9335,902
10/12/2016,S,1935,123116.07,9786,882
10/13/2016,S,1802,102468.58,8544,802
10/14/2016,S,1884,111436.22,9427,840
10/15/2016,S,2592,179271.83,13814,1226
10/16/2016,S,2382,153386.76,12241,1086
10/17/2016,S,1944,101580.92,8710,927
10/18/2016,S,1826,102195.55,8405,917
10/19/2016,S,1842,96729.7,8478,950
10/20/2016,S,1775,89996.86,8087,854
10/21/2016,S,1682,91411.08,7547,759
10/22/2016,S,2245,161743.57,12132,1135
10/23/2016,S,2469,158700.23,12664,1269
10/24/2016,S,1988,107656.33,9384,918
10/25/2016,S,1765,98647.34,8413,826
10/26/2016,S,1877,107318.9,8342,820
10/27/2016,S,1357,81427.63,6889,653
10/28/2016,S,2002,114190.67,9130,933
10/29/2016,S,2488,162817.19,13060,1321
10/30/2016,S,2140,143386.25,11575,1093
10/31/2016,S,1808,98099.28,8271,836
11/1/2016,S,1757,102914.75,8575,879
11/2/2016,S,1847,102144.47,8703,913
11/3/2016,S,1867,107743.19,9105,966
11/4/2016,S,1928,116001.19,9270,970
11/5/2016,S,2463,152359.59,12645,1371
11/6/2016,S,2306,139214.73,11349,1077
11/7/2016,S,1825,105446.94,8689,912
11/8/2016,S,1665,91337.71,7770,855
11/9/2016,S,1341,67709.6,5979,708
11/10/2016,S,1836,97931.53,8217,990
11/11/2016,S,1998,119288.13,9973,1165
11/12/2016,S,2578,167708.84,13726,1324
11/13/2016,S,2338,158514.63,12781,1291
11/14/2016,S,1962,101749.09,8970,934
11/15/2016,S,1383,81645.12,6680,652
11/16/2016,S,1952,108475.48,9571,1226
11/17/2016,S,2020,117152.63,9680,1358
11/18/2016,S,2194,120001.73,10530,1415
11/19/2016,S,2873,189722.18,15127,1811
11/20/2016,S,2346,154741.51,12493,1464
11/21/2016,S,2211,127027.96,10539,1249
11/22/2016,S,2266,125826.29,11595,1390
11/23/2016,S,2648,151525.27,12324,1489
11/25/2016,S,2852,258405.39,19568,2281
11/26/2016,S,2240,137678.4,10410,1304
11/27/2016,S,2326,139544.99,11136,1477
11/28/2016,S,2226,116536.76,9434,1401
11/29/2016,S,1204,63105.86,5561,649
