DATE,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS,TOTAL_RETURN_SALES,TOTAL_RETURN_UNITS
3/26/2016,R,155,0,0,0,9734.17,289
3/27/2016,S,1840,117299.4,9527,1009,0,0
3/27/2016,R,132,0,0,0,9440.88,260
3/28/2016,S,1606,79666.29,7515,776,0,0
3/28/2016,R,90,0,0,0,5201.91,190
3/29/2016,S,1700,88075.1,7972,787,0,0
3/29/2016,R,124,0,0,0,7363.99,205
3/30/2016,S,1612,81084.53,7770,878,0,0
3/30/2016,R,112,0,0,0,6266.24,206
3/31/2016,S,1758,92082.3,8229,947,0,0
3/31/2016,R,92,0,0,0,5280.03,170
4/1/2016,S,1704,99428.03,8457,910,0,0
4/1/2016,R,104,0,0,0,6912.14,183
4/2/2016,S,2440,156142.2,13147,1367,0,0
4/2/2016,R,156,0,0,0,8550.95,286
4/3/2016,S,2120,143845.01,11855,1141,0,0
4/3/2016,R,152,0,0,0,10520.7,260
4/4/2016,S,1446,72858.81,6664,743,0,0
4/4/2016,R,63,0,0,0,3661.05,101
4/5/2016,S,1628,87525.3,7918,737,0,0
4/5/2016,R,115,0,0,0,7061.6,222
4/6/2016,S,1592,80556.5,7397,725,0,0
4/6/2016,R,111,0,0,0,8010.32,289
4/7/2016,S,1509,76070.72,7147,709,0,0
4/7/2016,R,78,0,0,0,3884.67,126
4/8/2016,S,1752,92824.9,8173,866,0,0
4/8/2016,R,108,0,0,0,6645.37,193
4/9/2016,S,2073,134236.64,10901,1088,0,0
4/9/2016,R,127,0,0,0,9194.25,252
4/10/2016,S,2218,144911.78,11987,1173,0,0
4/10/2016,R,157,0,0,0,9520.87,322
4/11/2016,S,1668,87597.66,7837,684,0,0
4/11/2016,R,112,0,0,0,7505.34,258
4/12/2016,S,1613,85331.47,7793,702,0,0
4/12/2016,R,115,0,0,0,6236.57,222
4/13/2016,S,1684,85375.02,7638,804,0,0
4/13/2016,R,104,0,0,0,5857.01,175
4/14/2016,S,1680,93474.83,7747,832,0,0
4/14/2016,R,101,0,0,0,4944.47,164
4/15/2016,S,1880,112390.95,9132,996,0,0
4/15/2016,R,116,0,0,0,10628.42,242
4/16/2016,S,2366,151064.01,12543,1332,0,0
4/16/2016,R,141,0,0,0,7301.49,217
4/17/2016,S,2153,144059.52,12023,1259,0,0
4/17/2016,R,181,0,0,0,11191.48,313
4/18/2016,S,1818,96288.68,8602,944,0,0
4/18/2016,R,135,0,0,0,7386.79,247
4/19/2016,S,1798,93876.89,8376,961,0,0
4/19/2016,R,120,0,0,0,6845.92,208
4/20/2016,S,1837,95577.04,8709,994,0,0
4/20/2016,R,134,0,0,0,8961.79,251
4/21/2016,S,1858,102569.02,9682,999,0,0
4/21/2016,R,112,0,0,0,6164.88,206
4/22/2016,S,1901,114479,9706,962,0,0
4/22/2016,R,115,0,0,0,6730.46,206
4/23/2016,S,2334,155829.92,12890,1317,0,0
4/23/2016,R,125,0,0,0,7030.83,233
4/24/2016,S,2350,148499.17,12024,1322,0,0
4/24/2016,R,152,0,0,0,9225.11,235
4/25/2016,S,1913,93086.09,8625,1016,0,0
4/25/2016,R,120,0,0,0,8901.56,264
4/26/2016,S,1564,103957.9,7787,639,0,0
4/26/2016,R,106,0,0,0,21084.55,248
4/27/2016,S,1720,93002.57,8126,790,0,0
4/27/2016,R,106,0,0,0,4478.81,218
4/28/2016,S,1733,93185.08,8079,797,0,0
4/28/2016,R,105,0,0,0,5645.61,167
4/29/2016,S,1724,91319.8,8060,889,0,0
4/29/2016,R,103,0,0,0,5048.15,149
4/30/2016,S,2392,157667.15,12925,1255,0,0
4/30/2016,R,143,0,0,0,8919.98,244
5/1/2016,S,1934,130287.13,10456,963,0,0
5/1/2016,R,141,0,0,0,9825.69,248
5/2/2016,S,1882,106155.78,9061,781,0,0
5/2/2016,R,140,0,0,0,7587.33,209
5/3/2016,S,1617,91342.98,8126,744,0,0
5/3/2016,R,114,0,0,0,7488.33,320
5/4/2016,S,1639,87390.27,7793,759,0,0
5/4/2016,R,110,0,0,0,6821.9,190
5/5/2016,S,1781,97960.35,8596,956,0,0
5/5/2016,R,107,0,0,0,6227.79,210
5/6/2016,S,1662,94099.36,8137,818,0,0
5/6/2016,R,95,0,0,0,4460.7,140
5/7/2016,S,2420,155314.31,12737,1358,0,0
5/7/2016,R,145,0,0,0,9853.6,264
5/8/2016,S,2121,124155.25,10551,1130,0,0
5/8/2016,R,142,0,0,0,10613.29,266
5/9/2016,S,2009,98955.47,8657,1079,0,0
5/9/2016,R,144,0,0,0,9296.38,323
5/10/2016,S,1731,88344.64,7532,761,0,0
5/10/2016,R,113,0,0,0,6743.54,215
